ch_marksman_iw5_m4,WEAPON_M4,CHALLENGE_GET_N_KILLS,CHALLENGE_MARKSMAN,1,iw5_m4,10,250,25,1000,75,2000,150,5000,300,10000,500,10000,750,10000,1000,10000,,
ch_expert_iw5_m4,WEAPON_M4,CHALLENGE_GET_N_HEADSHOTS,CHALLENGE_EXPERT,1,iw5_m4,5,500,15,1000,30,2500,75,5000,150,10000,250,10000,350,10000,500,10000,,
ch_iw5_m4_reflex,WEAPON_M4,CHALLENGE_GET_N_KILLS_REFLEX,CHALLENGE_ATTACHMENT_REFLEX,1,iw5_m4_reflex,60,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_silencer,WEAPON_M4,CHALLENGE_GET_N_KILLS_SILENCER,CHALLENGE_ATTACHMENT_SILENCER,1,iw5_m4_silencer,15,750,,,,,,,,,,,,,,,,
ch_iw5_m4_gl,WEAPON_M4,CHALLENGE_GET_N_KILLS_GL,CHALLENGE_ATTACHMENT_GL,1,iw5_m4_gl,20,750,,,,,,,,,,,,,,,,
ch_iw5_m4_acog,WEAPON_M4,CHALLENGE_GET_N_KILLS_ACOG,CHALLENGE_ATTACHMENT_ACOG,1,iw5_m4_acog,20,750,,,,,,,,,,,,,,,,
ch_iw5_m4_heartbeat,WEAPON_M4,CHALLENGE_GET_N_KILLS_HEARTBEAT,CHALLENGE_ATTACHMENT_HEARTBEAT,1,iw5_m4_heartbeat,40,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_hybrid,WEAPON_M4,CHALLENGE_GET_N_KILLS_HYBRID,CHALLENGE_ATTACHMENT_HYBRID,1,iw5_m4_hybrid,40,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_shotgun,WEAPON_M4,CHALLENGE_GET_N_KILLS_SHOTGUN,CHALLENGE_ATTACHMENT_SHOTGUN,1,iw5_m4_shotgun,40,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_eotech,WEAPON_M4,CHALLENGE_GET_N_KILLS_EOTECH,CHALLENGE_ATTACHMENT_EOTECH,1,iw5_m4_eotech,40,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_xmags,WEAPON_M4,CHALLENGE_GET_N_KILLS_XMAGS,CHALLENGE_ATTACHMENT_XMAGS,1,iw5_m4_xmags,40,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_thermal,WEAPON_M4,CHALLENGE_GET_N_KILLS_THERMAL,CHALLENGE_ATTACHMENT_THERMAL,1,iw5_m4_thermal,40,1000,,,,,,,,,,,,,,,,
ch_iw5_m4_mastery,CHALLENGE_M4_MASTERY,CHALLENGE_GET_ALL_ATTACHMENTS,CHALLENGE_BLANK,10,iw5_m4,10,10000,,,,,,,,,,,,,,,,
ch_marksman_iw5_type95,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS,CHALLENGE_MARKSMAN,1,iw5_type95,10,250,25,1000,75,2000,150,5000,300,10000,500,10000,750,10000,1000,10000,,
ch_expert_iw5_type95,WEAPON_TYPE95,CHALLENGE_GET_N_HEADSHOTS,CHALLENGE_EXPERT,1,iw5_type95,5,500,15,1000,30,2500,75,5000,150,10000,250,10000,350,10000,500,10000,,
ch_iw5_type95_reflex,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_REFLEX,CHALLENGE_ATTACHMENT_REFLEX,1,iw5_type95_reflex,60,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_silencer,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_SILENCER,CHALLENGE_ATTACHMENT_SILENCER,1,iw5_type95_silencer,15,750,,,,,,,,,,,,,,,,
ch_iw5_type95_m320,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_GL,CHALLENGE_ATTACHMENT_GL,1,iw5_type95_m320,20,750,,,,,,,,,,,,,,,,
ch_iw5_type95_acog,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_ACOG,CHALLENGE_ATTACHMENT_ACOG,1,iw5_type95_acog,20,750,,,,,,,,,,,,,,,,
ch_iw5_type95_rof,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_ROF,CHALLENGE_ATTACHMENT_ROF,1,iw5_type95_rof,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_heartbeat,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_HEARTBEAT,CHALLENGE_ATTACHMENT_HEARTBEAT,1,iw5_type95_heartbeat,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_hybrid,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_HYBRID,CHALLENGE_ATTACHMENT_HYBRID,1,iw5_type95_hybrid,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_shotgun,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_SHOTGUN,CHALLENGE_ATTACHMENT_SHOTGUN,1,iw5_type95_shotgun,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_eotech,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_EOTECH,CHALLENGE_ATTACHMENT_EOTECH,1,iw5_type95_eotech,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_xmags,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_XMAGS,CHALLENGE_ATTACHMENT_XMAGS,1,iw5_type95_xmags,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_thermal,WEAPON_TYPE95,CHALLENGE_GET_N_KILLS_THERMAL,CHALLENGE_ATTACHMENT_THERMAL,1,iw5_type95_thermal,40,1000,,,,,,,,,,,,,,,,
ch_iw5_type95_mastery,CHALLENGE_TYPE95_MASTERY,CHALLENGE_GET_ALL_ATTACHMENTS,CHALLENGE_BLANK,10,iw5_type95,11,10000,,,,,,,,,,,,,,,,
ch_marksman_iw5_scar,WEAPON_SCAR,CHALLENGE_GET_N_KILLS,CHALLENGE_MARKSMAN,1,iw5_scar,10,250,25,1000,75,2000,150,5000,300,10000,500,10000,750,10000,1000,10000,,
ch_expert_iw5_scar,WEAPON_SCAR,CHALLENGE_GET_N_HEADSHOTS,CHALLENGE_EXPERT,1,iw5_scar,5,500,15,1000,30,2500,75,5000,150,10000,250,10000,350,10000,500,10000,,
ch_iw5_scar_reflex,WEAPON_SCAR,CHALLENGE_GET_N_KILLS_REFLEX,CHALLENGE_ATTACHMENT_REFLEX,1,iw5_scar_reflex,60,1000,,,,,,,,,,,,,,,,
ch_iw5_scar_silencer,WEAPON_SCAR,CHALLENGE_GET_N_KILLS_SILENCER,CHALLENGE_ATTACHMENT_SILENCER,1,iw5_scar_silencer,15,750,,,,,,,,,,,,,,,,
