1,killstreak,award_skull,MPUI_UNSTOPPABLE,MPUI_LONGEST_KILLSTREAK,1,0,count
2,headshots,award_skull,MPUI_SHARPSHOOTER,MPUI_MOST_HEADSHOTS,1,0,count
3,assists,award_skull,MPUI_WINGMAN,MPUI_MOST_ASSISTS,1,0,count
4,multikill,award_skull,MPUI_DEVASTATION,MPUI_HIGHEST_MULTIKILL,1,0,count
5,kills,award_skull,MPUI_THE_FEARED,MPUI_MOST_KILLS,1,0,count
6,mvp,award_skull,MPUI_MVP,MPUI_MOST_KILLSFEWEST_DEATHS,0,1,multi
7,overkill,award_skull,MPUI_OVERKILL,MPUI_MOST_KILLSMOST_HEADSHOTS,0,1,multi
8,punisher,award_skull,MPUI_GRIM_REAPER,MPUI_MOST_KILLSLONGEST_KILLSTREAK,0,1,multi
9,kdratio,award_skull,MPUI_COMBAT_EFFECTIVE,MPUI_HIGHEST_KILLDEATH_RATIO,1,0,float
10,damagedone,award_skull,MPUI_PUNISHER,MPUI_MOST_DAMAGE_DEALT,1,0,count
11,deaths,award_triumph,MPUI_JUGGERNAUT,MPUI_FEWEST_DEATHS,1,0,count
12,bulletpenkills,award_triumph,MPUI_BLINDFIRE,MPUI_MOST_BULLET_PENETRATION,1,0,count
13,revengekills,award_triumph,MPUI_EYE_FOR_AN_EYE,MPUI_MOST_PAYBACKS,1,0,count
14,avengekills,award_triumph,MPUI_AVENGER,MPUI_MOST_AVENGER_KILLS,1,0,count
15,rescues,award_triumph,MPUI_RESCUER,MPUI_MOST_RESCUES,1,0,count
16,longshots,award_triumph,MPUI_MARKSMAN,MPUI_MOST_LONGSHOTS,1,0,count
17,higherrankkills,award_triumph,MPUI_UPRISER,MPUI_MOST_KILLS_OF_HIGHER,1,0,count
18,laststandkills,award_triumph,MPUI_REVENGE,MPUI_MOST_LAST_STAND_KILLS,1,0,count
19,laststanderkills,award_triumph,MPUI_EXECUTIONER,MPUI_MOST_EXECUTION_KILLS,1,0,count
20,mostmultikills,award_triumph,MPUI_GENOCIDAL,MPUI_MOST_MULTIKILLS,1,0,count
21,comebacks,award_triumph,MPUI_COMEBACK_KID,MPUI_MOST_COMEBACKS,1,0,count
22,longestlife,award_triumph,MPUI_LIFER,MPUI_LONGEST_LIFE,1,0,time
23,mostcamperkills,award_triumph,MPUI_SCOUTMASTER,MPUI_MOST_CAMPING_KILLS,1,0,count
24,mosttacprevented,award_triumph,MPUI_SPAWN_BLOCKER,MPUI_MOST_TACTICAL_INSERTIONS,1,0,count
25,explosionssurvived,award_triumph,MPUI_SHELL_SHOCKED,MPUI_MOST_EXPLOSIONS_SURVIVED,1,0,count
26,fbhits,award_triumph,MPUI_BLINDER,MPUI_MOST_FLASHBANG_HITS,1,0,count
27,stunhits,award_triumph,MPUI_STUNNER,MPUI_MOST_STUN_GRENADE_HITS,1,0,count
28,knifekills,award_hero,MPUI_SWITCHBLADE,MPUI_MOST_KNIFE_KILLS,1,0,count
29,pistolkills,award_hero,MPUI_HARD_BOILED,MPUI_MOST_PISTOL_KILLS,1,0,count
30,grenadekills,award_hero,MPUI_GRENADIER,MPUI_MOST_GRENADE_KILLS,1,0,count
31,fragkills,award_hero,MPUI_FRAGGER,MPUI_MOST_FRAG_GRENADE_KILLS,1,0,count
32,c4kills,award_hero,MPUI_C4_KILLER,MPUI_MOST_C4_KILLS,1,0,count
33,semtexkills,award_hero,MPUI_SEMTEX_KILLER,MPUI_MOST_SEMTEX_KILLS,1,0,count
34,claymorekills,award_hero,MPUI_AMBUSHER,MPUI_MOST_CLAYMORE_KILLS,1,0,count
35,throwingknifekills,award_hero,MPUI_KNIFE_MASTER,MPUI_MOST_THROWING_KNIFE_KILLS,1,0,count
36,smgkills,award_hero,MPUI_SMG_SPECIALIST,MPUI_MOST_SMG_KILLS,1,0,count
37,arkills,award_hero,MPUI_RIFLE_SPECIALIST,MPUI_MOST_ASSAULT_RIFLE_KILLS,1,0,count
38,rocketkills,award_hero,MPUI_ROCKET_MAN,MPUI_MOST_ROCKET_KILLS,1,0,count
39,shotgunkills,award_hero,MPUI_SHOTGUN_SPECIALIST,MPUI_MOST_SHOTGUN_KILLS,1,0,count
40,lmgkills,award_hero,MPUI_RAMBO,MPUI_MOST_LMG_KILLS,1,0,count
41,sniperkills,award_hero,MPUI_SNIPER,MPUI_MOST_SNIPER_KILLS,1,0,count
42,pistolheadshots,award_hero,MPUI_SMOKING_GUN,MPUI_MOST_PISTOL_HEADSHOTS,1,0,count
43,smgheadshots,award_hero,MPUI_SMG_SHARPSHOOTER,MPUI_MOST_SMG_HEADSHOTS,1,0,count
44,arheadshots,award_hero,MPUI_RIFLE_SHARPSHOOTER,MPUI_MOST_ASSAULT_RIFLE_HEADSHOTS,1,0,count
45,shotgunheadshots,award_hero,MPUI_SHOTGUN_SURGEON,MPUI_MOST_SHOTGUN_HEADSHOTS,1,0,count
46,lmgheadshots,award_hero,MPUI_LMG_SHARPSHOOTER,MPUI_MOST_LMG_HEADSHOTS,1,0,count
