ch_autospot_pro,specialty_autospot,,specialty_autospot
ch_stalker_pro,specialty_stalker,,specialty_stalker
ch_detectexplosives_pro,specialty_detectexplosive,,specialty_detectexplosive
ch_bulletaccuracy_pro,specialty_bulletaccuracy,,specialty_bulletaccuracy
ch_deadsilence_pro,specialty_quieter,,specialty_quieter
ch_longdistance,specialty_holdbreath,,specialty_holdbreath
ch_delaymine,specialty_delaymine,,specialty_delaymine
ch_selectivehearing,specialty_selectivehearing,,specialty_selectivehearing
ch_fastsprintrecovery,specialty_fastsprintrecovery,,specialty_fastsprintrecovery
ch_falldamage,specialty_falldamage,,specialty_falldamage
