ch_paint_pro,specialty_paint,,specialty_paint
ch_sleightofhand_pro,specialty_fastreload,,specialty_fastreload
ch_blindeye_pro,specialty_blindeye,,specialty_blindeye
ch_longersprint_pro,specialty_longersprint,,specialty_longersprint
ch_scavenger_pro,specialty_scavenger,,specialty_scavenger
ch_bulletpaint,specialty_paint_pro,,specialty_paint_pro
ch_quickswap,specialty_quickswap,,specialty_quickswap
ch_fasterlockon,specialty_fasterlockon,,specialty_fasterlockon
ch_fastmantle,specialty_fastmantle,,specialty_fastmantle
ch_extraammo,specialty_extraammo,,specialty_extraammo
